,Name,Title,Current School Name
2781,Jordan Walsh,Assistant Coach / Tight Ends,Eastern Illinois
2782,Fred Wyatt,Assistant Coach - Defensive Line,Eastern Illinois
2783,Tim Greene,Graduate Assistant - Offense,Eastern Illinois
2784,Ryan DeMarois,Football Quality Control - Defense,Eastern Illinois
2785,Jared Sutton,Football Quality Control - Offense,Eastern Illinois
2786,Caleb Selk,Director of Football Operations,Eastern Illinois
2787,Reid Littleford,Graduate Assistant - Football Operations,Eastern Illinois
2788,Derek Stein,Director of Football Performance,Eastern Illinois
2789,Austin Leake,Football Director of Player Personnel,Eastern Illinois
2878,Walt Wells,Head Coach,Eastern Kentucky
2879,Jake Johnson,Defensive Coordinator/Inside Linebackers Coach,Eastern Kentucky
2880,Andy Richman,Offensive Coordinator/Running Backs Coach,Eastern Kentucky
2881,Caleb Cox,Wide Receivers Coach/Co-Recruiting Coordinator,Eastern Kentucky
2882,Derek Day,Outside Linebackers Coach/Co-Special Teams Coordinator,Eastern Kentucky
2883,Mike Dietzel,Safeties Coach,Eastern Kentucky
2884,Chris Franklin,Cornerbacks Coach/Co-Recruiting Coordinator,Eastern Kentucky
2885,Jeremy Hawkins,Defensive Line Coach/Run Game Coordinator for Defense,Eastern Kentucky
2886,Erik Losey,Offensive Line Coach,Eastern Kentucky
2887,Kevin McKeethan,Tight Ends Coach/Special Teams Coordinator,Eastern Kentucky
2888,Maxwell Smith,Quarterbacks Coach,Eastern Kentucky
2889,Garry McPeek,Football Chief of Staff,Eastern Kentucky
2890,Billy Brown,Director of Football Sports Performance,Eastern Kentucky
2891,Gregory Bourn,Assistant Director of Football Sports Performance,Eastern Kentucky
2892,Thomas Bowling,Director of Football Operations,Eastern Kentucky
2893,Emily Muse,Director of Football Recruiting Operations,Eastern Kentucky
2894,Thomas Schultz,Director of Equipment Services for Football,Eastern Kentucky
2895,Pierce Hamilton,Assistant Director of Equipment Services,Eastern Kentucky
2896,Patrick Coyle,Football Video Coordinator,Eastern Kentucky
2897,Matthew Leifheit,Offensive Quality Control,Eastern Kentucky
2898,Jacob Smith,Defensive Quality Control,Eastern Kentucky
2899,Quinn Suber,Special Teams Quality Control,Eastern Kentucky
2984,Aaron Best,Head Coach,Eastern Washington
2985,Jim Chapin,Offensive Coordinator / Quarterbacks Coach,Eastern Washington
2986,Jeff Copp,Defensive Coordinator,Eastern Washington
2987,Marc Anderson,Associate Head Coach / Tight Ends / Recruiting Coordinator,Eastern Washington
2988,Zach Bruce,Safeties Coach / Defensive Pass Game Coordinator,Eastern Washington
2989,Brandon Johnson-Farrell,Running Backs Coach,Eastern Washington
2990,Hayden Mace,Offensive Line Coach,Eastern Washington
2991,Jeff McDaniels,Wide Receivers Coach,Eastern Washington
2992,Wes Nurse,Cornerbacks Coach,Eastern Washington
2993,Eric Sanders,Linebackers Coach / Defensive Run Game Coordinator,Eastern Washington
2994,Matt Ulrich,Defensive Line Coach,Eastern Washington
2995,Ryan Groneman,Director of Athletic Performance (Football),Eastern Washington
2996,Jake Rasmussen,Director of Football Operations,Eastern Washington
3078,Tony Trisciani,Head Football Coach,Elon
3079,Drew Folmar,Associate Head Football Coach (Offensive Coordinator/Quarterbacks),Elon
3080,Dovonte Edwards,Assistant Football Coach (Defensive Coordinator/Defensive Backs),Elon
3081,Seth Payne,Assistant Football Coach (Defensive Run Game Coordinator/Defensive Line/Recruiting Coordinator),Elon
3082,Milo Austin,Assistant Football Coach (Special Teams Coordinator/Outside Linebackers),Elon
3083,Casey Vance,Assistant Football Coach (Inside Linebackers),Elon
3084,Nate Harris,Assistant Football Coach (Running Backs),Elon
3085,Ty Greenwood,Assistant Football Coach (Defensive Pass Game Coordinator/Cornerbacks),Elon
3086,Alex Stadler,Assistant Football Coach (Offensive Line),Elon
3087,Kyle Perkins,Assistant Football Coach (Wide Receivers),Elon
3088,Matt Ford,Assistant Football Coach (Tight Ends),Elon
3089,Dominique Battle,Assistant Football Coach (Cornerbacks),Elon
3090,Mike Nall,Assistant Football Coach (Special Teams Assistant),Elon
3091,Joe Perri,Assistant Football Coach (Defensive Line Assistant),Elon
3092,Dan Baranik,Director of Player Personnel and Football Operations,Elon
3093,Nick DiMarco,Director of Sports Performance,Elon
3094,Hal Capps,Director of High School Relations,Elon
3095,Jim Cross,Head Athletics Equipment Manager,Elon
3096,Dr. Lee Diehl,Head Team Physician/Orthopedic Surgeon,Elon
3097,Bob Disher,Life Coach,Elon
3219,Willie Simmons,Head Coach / Quarterbacks,Florida A&M
3220,James Spady,Associate Head Coach / Tight Ends,Florida A&M
3221,Ryan Smith,Assistant Head Coach / Defensive Coordinator / Linebackers,Florida A&M
3222,Billy Rolle,Special Assistant to the Head Coach / Nickelbacks,Florida A&M
3223,Joseph Henry,Offensive Coordinator / Offensive Line Coach,Florida A&M
3224,Chili Davis,Special Teams Coordinator,Florida A&M
3225,Jelani Berassa,Passing Game Coordinator / Wide Receivers,Florida A&M
3226,Marcus Windham,Running Backs Coach,Florida A&M
3227,Milton Patterson,Defensive Run Game Coordinator / Defensive Line,Florida A&M
3228,James Colzie III,Defensive Passing Game Coordinator / Cornerbacks,Florida A&M
3229,Davon Morgan,Safeties,Florida A&M
3230,Orlando McKinley,Defensive Graduate Assistant,Florida A&M
3231,Ayeobele Randolph,Video / Offensive Graduate Assistant,Florida A&M
3232,Chris Jaksch,Video / Defensive Graduate Assistant,Florida A&M
3233,Larry Kirkland,Volunteer Offensive Quality Control,Florida A&M
3234,LaTroy Johnson,Director of Football Operations / Chief of Staff,Florida A&M
3235,"Vincent Williams, MS, LAT, ATC, USAW",Director of Sports Medicine/Head Athletic Trainer,Florida A&M
3236,Cole Forney,"Director of Sports Performance (FB, MBB, WBB)",Florida A&M
3237,Donald Reed,Director of Equipment Operations,Florida A&M
3238,Alexia Randolph,Director of Video Operations,Florida A&M
3239,Devin Rispress,Director of Recruiting,Florida A&M
3240,Kyndal Perry,Director of On-Campus Recruiting Graduate Assistant,Florida A&M
3241,"Ray Mathews, Jr.",Volunteer Football Operations,Florida A&M
3319,Joe Conlin,Head Football Coach,Fordham
3320,Art Asselta,Associate Head Coach/Off. Coor./Quarterbacks,Fordham
3321,Allen Gant,Assistant Coach - Def. Coor./Linebackers,Fordham
3322,James Lenahan,Assistant Coach - Asst. Spec. Team Coor./Cornerbacks,Fordham
3323,Frank Giufre,Assistant Coach - Offensive Line,Fordham
3324,Anthony Leonard,Assistant Coach - Defensive Line,Fordham
3325,Corey Burns,Assistant Coach - Defensive Line,Fordham
3326,Jalen Banks,Assistant Coach - Running Backs,Fordham
3327,Jake Petrarca,Assistant Coach - Wide Receivers,Fordham
3328,Rich Reichert,Assistant Coach - Safeties,Fordham
3329,Andrew DiRienzo,Assistant Coach - Tight Ends,Fordham
3330,Vincent DiGaetano,Volunteer Defensive QC,Fordham
3331,Adam Carter,Volunteer Offensive QC,Fordham
3332,Abe Seldowitz,Recruiting Quality Control,Fordham
3333,Leah Eberts,Director of Football Operations,Fordham
3444,Clay Hendrix,Bobby Johnson Endowed Head Coach Of Football,Furman
3445,André Bernardi,"Assistant Athletics Director/Strength Training & Conditioning, Associate Head Football Coach",Furman
3446,Chad Byers,Inside Linebackers / Co-Defensive Coordinator,Furman
3447,Cory Colder,Running Backs,Furman
3448,Drew Dudzik,Wide Receivers Coach,Furman
3449,Kevin Lewis,Defensive Line,Furman
3450,Tafon Mainsah,Cornerbacks,Furman
3451,Matt McCutchan,Offensive Line,Furman
3452,Justin Roper,Offensive Coordinator / Quarterbacks,Furman
3453,Tommy Spangler,Special Teams Coordinator / Defensive Backs,Furman
3454,Duane Vaughn,Defensive Coordinator,Furman
3455,Nick Verna,Tight Ends / Recruiting Coordinator / NFL Liaison,Furman
3456,Dae'one Wilkins,Defensive Assistant,Furman
3457,Aaron Odom,Offense Quality Control,Furman
3458,Philip Duke,Student Assistant,Furman
3459,Clay Mazza,Chief of Staff / Director of Football Operations,Furman
3460,Gannon Veh,Assistant Director of Football Operations / Director of Football Technology,Furman
3461,Craig Clark,Associate Athletics Director/Sports Medicine & Performance,Furman
3462,Mike Brown,Assistant Director of Sports Medicine,Furman
3463,Samantha Darby,Staff Athletic Trainer,Furman
3464,Joe Novotasky,Assistant Strength Training & Conditioning Coach,Furman
3465,Stephen Antley,Strength Training & Conditioning Assisant,Furman
3466,Tracey Hendricks,Administrative Assistant,Furman
3467,Justin Brown,Football Team Chaplain,Furman
3577,Tre Lamb,Head Football Coach,Gardner Webb
3578,Jamere Hogue,Associate Head Coach / DL,Gardner Webb
3579,Josh Reardon,Defensive Coordinator / DB,Gardner Webb
3580,Dominique Davenport,Co-Special Teams Coordinator / RB,Gardner Webb
3581,Michael Gray,Co-Special Teams Coordinator / LB,Gardner Webb
3582,Tyler Dell,Assistant Coach / TE,Gardner Webb
3583,Madison Hunsaker,Director of Football Operations,Gardner Webb
3584,Sydney Burroughs,Operations and Recruiting Assistant,Gardner Webb
3678,Rob Sgarlata,Head Coach,Georgetown
3679,Rob Spence,Offensive Coordinator/Quarterbacks,Georgetown
3680,Kevin Doherty,Defensive Coordinator/Linebackers,Georgetown
3681,Trey Henderson,Special Teams Coordinator / Safeties,Georgetown
3682,Alex Kolt,Assistant Head Coach / Offensive Line,Georgetown
3683,Steve Thames Jr.,Pass Game Coordinator / Wide Receivers Coach / Recruiting Coordinator,Georgetown
3684,Corey Burns,Assistant Coach - Defensive Line,Georgetown
3685,Kenneth Tinsley,Assistant Coach - Running Backs,Georgetown
3686,Jack McDaniels,Assistant Coach - Tight Ends,Georgetown
3687,Sammie Jenkins,Assistant Coach / Defensive Line,Georgetown
3688,Joseph LaMore,Director of Football Operations,Georgetown
3799,Hue Jackson,Head Coach,Grambling State
3800,John Simon,Assistant Head Coach / Offensive Coordinator / Wide Receivers,Grambling State
3801,Cedric Thornton,Associate Head Coach / Defensive Coordinator,Grambling State
3802,Ken Delgado,Defensive Line,Grambling State
3803,Saeed Lee,Cornerbacks,Grambling State
3804,Tim McTyer,Safeties,Grambling State
3805,Robert Valdez,Offensive Line,Grambling State
3806,Ryan Weston,Tight Ends,Grambling State
3807,Kris Peters,Running Backs,Grambling State
3808,Devante Kincade,Quarterbacks,Grambling State
3809,Chris Scott,General Manager / Special Teams Coach,Grambling State
3810,Adin Trujillo,Offensive Analyst,Grambling State
3811,Yusupha Foster,Defensive Graduate Assistant,Grambling State
3812,Jamar Harp,Special Teams Analyst,Grambling State
3900,Robert Prunty,Head Football Coach,Hampton
3901,Brian White,Associate Head Coach/Offensive Line Coach/Recruiting Coordinator,Hampton
3902,Zack Patterson,Offensive Coordinator,Hampton
3903,Chris Cosh,Defensive Coordinator,Hampton
3904,Todd McComb,Co-Defensive Coordinator,Hampton
3905,Brandon Williams,Outside Linebackers/Running Game Coordinator,Hampton
3906,Trent Boykin,Running Backs Coach/Offensive Special Teams Coordinator,Hampton
3907,Ollie Taylor,Inside WR/Tight Ends Coach,Hampton
3908,Nick Newsome,Safeties Coach/Defensive Special Teams Coordinator,Hampton
3909,Kentwan Balmer,Defensive Line Coach,Hampton
3910,Randy Moore,Head Football Strength & Conditioning Coach,Hampton
3911,John Andersson,Director of Football Operations/Video Coordinator,Hampton
3912,Chris Anderson,Wide Receivers Coach,Hampton
3996,Tim Murphy,The Thomas Stephenson Family Head Coach for Harvard Football,Harvard
3997,Scott Larkee '99,Assistant Head Coach - Defensive Coordinator and Linebackers,Harvard
3998,Joel Lamb '93,Assistant Head Coach - Quarterbacks,Harvard
3999,Ryan Crawford,Assistant Head Coach - Secondary and Special Teams,Harvard
4000,Mickey Fein,Assistant Coach - Offensive Coordinator and Wide Receivers,Harvard
4001,Michael Horan,Assistant Coach - Defensive Line,Harvard
4002,Logan Johnson,Assistant Coach - Defensive Ends,Harvard
4003,Anthony Fucillo,Assistant Coach - Safeties,Harvard
4004,Keegan Kennedy,Assistant Coach - Offensive Line,Harvard
4005,Laz Mitjans Jr.,Assistant Coach - Running Backs,Harvard
4006,Jackson McSherry,Director of Football Operations,Harvard
4007,Ryan Kalukin,Recruiting Coordinator,Harvard
4008,Lauren Hunt,Administrative Coordinator,Harvard
4009,James Frazier,Director of Strength & Conditioning,Harvard
4010,Yumi Kuscher,Athletic Trainer,Harvard
4011,Eric Nelson,Faculty Fellow,Harvard
4111,Bob Chesney,Head Coach,Holy Cross
4112,Chris Smith,Offensive Coordinator,Holy Cross
4113,Scott James,Defensive Coordinator,Holy Cross
4114,Drew Canan,Special Teams Coordinator / Tight Ends Coach,Holy Cross
4115,Kyle Barnes,Cornerbacks Coach,Holy Cross
4116,Mike Cordova,Running Backs Coach,Holy Cross
4117,Nick Della Jacono,Defensive Line Coach,Holy Cross
4118,Anthony DiMichele,Safeties Coach / Recruiting Coordinator,Holy Cross
4119,Rich Gunnell,Wide Receivers Coach / Pass Game Coordinator,Holy Cross
4120,Dean Kennedy,Quarterbacks Coach,Holy Cross
4121,Brian Vaganek,Linebackers Coach / Defensive Run Game Coordinator,Holy Cross
4122,Chris Grautski,Director of Football Strength & Conditioning / Pro Liaison,Holy Cross
4123,Jordan Smith,Director of Operations,Holy Cross
4124,Mike Vulcano,Assistant Director of Operations,Holy Cross
4125,Pete Haffner,Offensive Quality Control,Holy Cross
4126,Justice Seales,Defensive Quality Control,Holy Cross
4127,Sam Cohen,Digital Operations & Video Coordinator / Special Teams Quality Control,Holy Cross
4193,Braxton Harris,Head Coach,Houston Christian
4194,Roger Hinshaw,Assoc. Head Coach/Safeties,Houston Christian
4195,Jason Bachtel,Offensive Coordinator/Quarterbacks,Houston Christian
4196,Eric Daniels,Defensive Coordinator/Linebackers,Houston Christian
4197,Ross Hornor,Offensive Line/Recruiting Coordinator,Houston Christian
4198,Issac Mooring,Defensive Line/Camp Director,Houston Christian
4199,Stoney Patton,Wide Receivers/Video Coordinator,Houston Christian
4200,Jonathan Petty,Cornerbacks/Passing Game Coordinator/Academic Liaison,Houston Christian
4201,Aaron Winchester,Running Backs/Camp Coordinator,Houston Christian
4202,Jim Sutrick,Assistant Coach/Outside Linebackers,Houston Christian
4203,Herschel Sims,Assistant Coach,Houston Christian
4204,Donavan Newman,Offensive Quality Control,Houston Christian
4205,Carter Foster,Offensive Quality Control,Houston Christian
4206,Will Koustmer,Defensive Quality Control,Houston Christian
4207,TJ Lynn,Defensive Quality Control,Houston Christian
4208,David Crane,Director of Football Operations,Houston Christian
4209,Peter Chung,Director of Player Personnel,Houston Christian
4210,Donovan Thompson,Director of Player Development/Team Chaplain,Houston Christian
4295,Larry Scott,Head Football Coach,Howard
4296,Troy Douglas,Defensive Coordinator,Howard
4297,Lindsey Lamar,Offensive Coordinator/Wide Receivers Coach,Howard
4298,Vernon Hargreaves,Special Teams Coordinator/Defensive Line Coach,Howard
4299,Da'Vaun Johnson,Running Backs Coach,Howard
4300,Warren Belin,Linebackers Coach,Howard
4301,Kyshoen Jarrett,Defensive Backs Coach,Howard
4302,Nicholas Gould,Tight Ends Coach,Howard
4303,Greg McGhee,Quarterbacks Coach,Howard
4304,Arthur Ray,Offensive Line Coach,Howard
4305,David Davis,Director of Football Operations,Howard
4306,Janice Pettyjohn,Director of On-Campus Recruiting,Howard
4307,Kevin Barger,Offensive Quality Control,Howard
4308,Mike Bellamy,Offensive Quality Control,Howard
4309,Buddy Ruff,Defensive Quality Control,Howard
4310,Akiel Russell,Defensive Quality Control,Howard
4424,Jason Eck,Head Coach,Idaho
4425,Luke Schleusner,Offensive Coordinator/Quarterbacks,Idaho
4426,Rob Aurich,Defensive Coordinator,Idaho
4427,Thomas Ford,Running Backs/Special Teams Coordinator,Idaho
4428,Tyler Sutton,Tight Ends Coach/Recruiting Coordinator,Idaho
4429,Cody Booth,Assistant Coach - Offensive Line,Idaho
4430,David Lose,Assistant Coach - Defensive Line,Idaho
4431,Stanley Franks Jr.,Assistant Coach - Cornerbacks,Idaho
4432,Matt Linehan,Assistant Coach - Receivers,Idaho
4433,Kapono Roy Asuega,Assistant Coach - Outside Linebackers,Idaho
4434,Bobby Jay,Assistant Coach - Safeties,Idaho
4435,J.D. Johnson,Director of Operations,Idaho
4436,Tucker Rovig,Offensive Graduate Assistant,Idaho
4437,Chris Gordon,Defensive Graduate Assistant,Idaho
4522,Cody Hawkins,Head Coach,Idaho State
4523,Josh Runda,Defensive Coordinator,Idaho State
4524,Mark Weber,Offensive Line Coach,Idaho State
4525,Jacob Thomas,Running Backs / Run Game Coordinator,Idaho State
4526,Jesse Thompson,Director of Football Operations / Special Teams,Idaho State
4527,Josh Mondt,Offensive Flex (QB / WR),Idaho State
4528,Nick Alaimalo,Inside Receivers,Idaho State
4529,Scott Thiessen,Safeties Coach,Idaho State
4530,Korey Rush,Defensive Line Coach,Idaho State
4531,Devin Holiday,Corners,Idaho State
4532,Kody Hensley,Chief of Staff,Idaho State
4533,Paea Moala,Director of Video Technology,Idaho State
4534,Dustin Enslinger,"Head Athletic Trainer (FB, MBB, Golf)",Idaho State
4535,Brandon Stephens,Director of Strength & Conditioning,Idaho State
4635,Brock Spack,Head Coach,Illinois State
4636,Travis Niekamp,Defensive Coordinator/Inside Linebackers,Illinois State
4637,Tony Petersen,Offensive Coordinator/Wide Receivers,Illinois State
4638,Mike Banks,Defensive Associate Head Coach/Defensive Backs,Illinois State
4639,Kye Stewart,Defensive Assistant Head Coach/Outside Linebackers,Illinois State
4640,Andy Belluomini,Assistant Coach/Quarterbacks,Illinois State
4641,Cody Deti,Assistant Coach/Safeties,Illinois State
4642,Harold Etheridge,Assistant Coach/Offensive Line,Illinois State
4643,Brian Hendricks,Assistant Coach/Defensive Line,Illinois State
4644,C.J. Irvin,"Assistant Coach/Tight Ends, Fullbacks",Illinois State
4645,Sam Ojuri,Assistant Coach/Running Backs,Illinois State
4646,Holden Boyle,Director of Operations,Illinois State
4716,Clint Killough,Head Football Coach,Incarnate Word
4717,Kenny Hill,Associate Head Coach / Running Backs,Incarnate Word
4718,Conner McQueen,Offensive Coordinator / Quarterbacks,Incarnate Word
4719,Jim Gush,Defensive Coordinator,Incarnate Word
4720,Blair Cavanaugh,Special Teams Coordinator,Incarnate Word
4721,Sam Bennett,Linebackers / Academic Coordinator,Incarnate Word
4722,Ty Darlington,Tight Ends / Director of High School Relations,Incarnate Word
4723,Ben Olson,Defensive Line / Defensive Run Game Coordinator,Incarnate Word
4724,George Sanders,Defensive Backs / Defensive Pass Game Coordinator,Incarnate Word
4725,Willis White,Wide Receivers / Pass Game Coordinator,Incarnate Word
4726,Austin Woods,Offensive Line / Run Game Coordinator,Incarnate Word
4727,Julian De La Hay,Special Teams Quality Control Coach,Incarnate Word
4728,Tre Spragg,Defense Quality Control Coach,Incarnate Word
4729,Richard Johnson,Defense Quality Control Coach,Incarnate Word
4730,Nick Young,Recruiting Coordinator / Senior Analyst,Incarnate Word
4731,Zack Lucas,Director of Football Operations / NFL Liason,Incarnate Word
4732,Lauren Mancha,Director of Player Personnel / Director of Campus Relations / Assistant to the Head Coach,Incarnate Word
4733,Aaron Bota,Football Creative Content Coordinator,Incarnate Word
4734,Kyle Covington,Defensive Graduate Assistant,Incarnate Word
4735,Cody Dunn,Football Recruiting Graduate Assistant,Incarnate Word
4736,Cameron Venzant,Offense Graduate Assistant,Incarnate Word
4737,Mauricio De La Garza,Offense Graduate Assistant,Incarnate Word
4738,Doug Johnson,Equipment Graduate Assistant,Incarnate Word
4739,Lamont Johnson,Offensive Graduate Assistant,Incarnate Word
4740,"Augie Melendez, Jr.",Head Football Athletic Trainer,Incarnate Word
4741,April Sustaita,Athletic Trainer (Football),Incarnate Word
4855,Curt Mallory,Head Coach,Indiana State
4856,Mark Smith,Assistant Head Coach/Defensive Line,Indiana State
4857,Mike Bath,Offensive Coordinator / Quarterbacks,Indiana State
4858,Brad Wilson,Defensive Coordinator,Indiana State
4859,Patrick Shepard,Special Teams Coordinator / Tight Ends,Indiana State
4860,Aaron Young,Recruiting Coordinator / Running Backs,Indiana State
4861,Tyler Funk,Offensive Line,Indiana State
4862,Collin Coffer,Wide Receivers,Indiana State
4863,Wolfgang Shafer,Safeties,Indiana State
4864,Gavin Dineen,Defensive Line,Indiana State
4865,JJ Henderson,Cornerbacks,Indiana State
4866,Adam Dennison,Director of Operations,Indiana State
4867,Dillon Weithman,Video Coordinator,Indiana State
4868,Kyle Neaveill,Graduate Assistant/Defense,Indiana State
4869,Brandon Hinds,Graduate Assistant/Offense,Indiana State
4870,Alex Mitchell,Graduate Assistant/Offense & Special Teams,Indiana State
4871,Cole Trammell,Assistant Operations Director,Indiana State
4872,Kayleigh Hite,Student Graphic Designer/Media Assistant,Indiana State
4873,Andrew Bement,Recruiting Student Manager,Indiana State
4958,T.C. Taylor,Head Coach,Jackson State
4959,Otis Riddley,Assistant Head Coach / Tight Ends,Jackson State
4960,Maurice Harris,Offensive Coordinator,Jackson State
4961,Jason Onyebuagu,Co-Offensive Coordinator / Offensive Line,Jackson State
4962,Jonathan Bradley,Defensive Coordinator / Defensive Line,Jackson State
4963,Quinn Billerman,Quarterbacks,Jackson State
4964,Tyquan Hammock,Linebackers,Jackson State
4965,Jashell Mitchell,Assistant Athletic Director / Football Operations,Jackson State
4966,Brandon Morton,Running Backs,Jackson State
4967,Torenzo Quinn,Defensive Backs / Defensive Passing Game Coordinator,Jackson State
5064,Brian Bohannon,Head Coach,Kennesaw State
5065,Chris Klenakis,Offensive Coordinator/Offensive Line Coach,Kennesaw State
5066,Nathan Burton,Defensive Coordinator,Kennesaw State
5067,Ossie Buchannon,Wide Receivers Coach/Special Teams Coordinator,Kennesaw State
5068,Stewart Cook,Tight Ends and Tackles Coach,Kennesaw State
5069,Liam Klein,Recruiting Coordinator/Defensive Line Coach,Kennesaw State
5070,Darius Safford,Defensive Backs Coach,Kennesaw State
5071,Tim Glanton,Running Backs Coach,Kennesaw State
5072,Chandler Burks,Quarterbacks/B-backs Coach,Kennesaw State
5073,Greg Harris,Linebackers Coach,Kennesaw State
5074,Kynjee Cotton,Defensive Ends Coach,Kennesaw State
5075,Jake Lassiter,Offensive Graduate Assistant,Kennesaw State
5076,Hampton Hamner,Defensive Graduate Assistant,Kennesaw State
5077,Matt Griffin,Chief of Staff,Kennesaw State
5078,Alex Derenthal,Director of Football Sports Performance,Kennesaw State
5079,Dakota Rushing,Assistant Sports Performance Coach (Football),Kennesaw State
5080,Johnny Rupp,Graduate Sports Performance Coach,Kennesaw State
5081,Keith Mize,Head Football Athletic Trainer,Kennesaw State
5082,Courtney Wisler,"Assistant Athletic Trainer, Football",Kennesaw State
5083,Lydia West,Director of Football Operations,Kennesaw State
5084,Trudy Cobb,"Coordinator, Football Administration",Kennesaw State
5085,Reese Mathewson,Video Coordinator,Kennesaw State
5086,Kaleb Fedelem,Football Equipment Manager,Kennesaw State
5087,Nolan Alexander,"""Voice of the Owls"" / Assistant Athletics Director of Communications & Broadcasting",Kennesaw State
5088,Michael Goss,Associate Director of Athletics Communications,Kennesaw State
5089,Michael Pitts,Athletics Communications Assistant,Kennesaw State
5159,John Troxell,Fred M. Kirby II '42 Head Football Coach,Lafayette
5160,Kevin Baumann,Assistant Head Coach/Offensive Line,Lafayette
5161,T.J. DiMuzio,Offensive Coordinator/Quarterbacks,Lafayette
5162,Ryan Roeder,Wide Receivers,Lafayette
5163,Anthony Johnson,Running Backs,Lafayette
5164,Tyler Noll,Tight Ends,Lafayette
5165,Mike Saint Germain,Defensive Coordinator/Linebackers,Lafayette
5166,Andrew Seumalo,Recruiting Coordinator/Outside Linebackers,Lafayette
5167,Meade Clendaniel,Safeties,Lafayette
5168,Donte Wilkins,Defensive Line,Lafayette
5169,Jeff Sejour,Cornerbacks,Lafayette
5170,Jake Amsler,Defensive Quality Control,Lafayette
5171,Shane Davenport,Director of Football Performance,Lafayette
5172,Maddie Rodgers,Director of Football Operations,Lafayette
5173,Carlos Tavares,Faculty Mentor,Lafayette
5174,Jeff Liebner,Faculty Mentor,Lafayette
5270,Pete Rossomando,Head Coach,Lamar
5271,Drew Christ,Assistant Coach - Defensive Coordinator,Lamar
5272,Will Fleming,Assistant Coach - Offensive Coordinator/QBs,Lamar
5273,Coby Gipson,Assistant Coach - Recruiting Coordinator/WRs,Lamar
5274,Daryl Daleen,Assistant Coach - Co-Special Teams Coord. / ILBs,Lamar
5275,Dave Stedman,Assistant Coach - Co-Special Teams Coord. / OLBs,Lamar
5276,Wayne Cordova,Assistant Coach - Safeties,Lamar
5277,Lorenzo Jackson,Assistant Coach - Defensive Line,Lamar
5278,Matt Cannata,Assistant Coach - Offensive Line,Lamar
5279,Todd Macon,Assistant Coach - Running Backs,Lamar
5280,Andrew Sparano,Assistant Coach - Tight Ends,Lamar
5281,Pat Walker,Assistant Coach - Strength,Lamar
5282,Kristin Willeford,Assistant AD for Sports Medicine,Lamar
5283,Cecil Banks III,Video Coordinator/Dir. of Football Media,Lamar
5349,Kevin Cahill,Head Coach,Lehigh
5350,Dan Hunt,Offensive Coordinator/Quarterbacks Coach,Lehigh
5351,Richard Nagy,Defensive Coordinator/Linebackers Coach,Lehigh
5352,Mike Kashurba,Special Teams Coordinator/Defensive Backs Coach,Lehigh
5353,Mike Morita,Offensive Line Coach/Run Game Coordinator,Lehigh
5354,Mark McMaster,Wide Receivers Coach/Recruiting Coordinator,Lehigh
5355,Demeitre Brim,Defensive Line Coach,Lehigh
5356,Bobby Bozym,Tight Ends Coach,Lehigh
5357,Chavarr Warren,Running Backs Coach,Lehigh
5358,Shamir Bearfield,Cornerbacks Coach,Lehigh
5359,Ben Thaw,Outside Linebackers Coach,Lehigh
5360,Eileen Biro,Football Secretary,Lehigh
5393,Jed Stugart,Head Coach,Lindenwood
5394,Dusty Hovorka,Offensive Coordinator,Lindenwood
5395,Eric Inama,Defensive Coordinator/NFL Liaison,Lindenwood
5396,Bryan Baldwin,Special Teams Coordinator/Defensive Backs,Lindenwood
5397,Jarrett Grabbe,Defensive Line,Lindenwood
5398,Tore' Hurst,Wide Receivers,Lindenwood
5399,Denver Johnson,Offensive Line,Lindenwood
5400,Corey Bethany,Video Coordinator/Quarterbacks,Lindenwood
5401,Pat Stewart,Linebackers,Lindenwood
5402,Mark Goldenberg,Tight Ends,Lindenwood
5403,Lane Lawson,Assistant Linebackers,Lindenwood
5404,Alex Garcia,Defensive Line,Lindenwood
5405,Anthony Jones,Recruiting Coordinator/Running Backs,Lindenwood
5406,Jack Storm,Defensive Analyst,Lindenwood
5407,Corey Newsome,Defensive Analyst,Lindenwood
5408,JC Hull,"Athletic Performance, Football",Lindenwood
5409,Keagan Roberson,Director of Football Operations,Lindenwood
5410,Blake Moore,Defensive Quality Control,Lindenwood
5411,Zeke Scott,Offensive Quality Control,Lindenwood
5524,Ron Cooper,Head Coach,Long Island
5525,Kort Shankweiler,Offensive Coordinator Tight Ends Coach,Long Island
5526,Kevin Cosgrove,Defensive Coordinator,Long Island
5527,Eric Mathies,Assistant Head Coach Defensive Line Coach,Long Island
5528,John Roberts,Co-Offensive Coordinator Quarterbacks Coach,Long Island
5529,Adrian Brunori,Offensive Line Coach,Long Island
5530,Kevin Richardson,Defensive Backs Coach,Long Island
5531,Mark Modleski,Running Back Coach Recruiting Coordinator,Long Island
5532,Rocco DiMeco,Special Teams Coordinator Linebackers Coach,Long Island
5533,DJ Gillins,Wide Receivers Coach,Long Island
5534,Ross Ragonesi,Safeties Coach Head Video Coordinator,Long Island
5535,Brenden Young,Quality Control Coach,Long Island
5536,Ryan Alexander,Quality Control Coach,Long Island
5537,Rylan Stamn,Quality Control Coach,Long Island
5538,Bryant Novick,Director of Football Sports Performance,Long Island
5539,"Alex Green, ATC",Head Football Athletic Trainer Sport: Football,Long Island
5540,"Olivia Szallai, ATC",Assistant Athletic Trainer - Brookville Sports: Football,Long Island
