,Name,Title,Current School Name
2554,John Widecan,Associate AD/Football Operations,Cincinnati
2555,Sherry Murray,Associate to the Head Football Coach,Cincinnati
2556,Mitch Marotti,Operations & Video Assistant,Cincinnati
2557,Zach Grant,General Manager,Cincinnati
2558,Caroline Tart,Director of Recruiting,Cincinnati
2559,Jack Griffith,Director of Player Personnel,Cincinnati
2560,Ashley Hecimovich,Director of On-Campus Recruiting,Cincinnati
2561,Cass Simmons,Director of Recruiting Strategy,Cincinnati
2562,Carter Wilson,Director of Scouting,Cincinnati
2563,Chris Canada,Graduate Assistant - Offense,Cincinnati
2564,Adam Niemeyer,Director of Football Video,Cincinnati
2565,Dalvin Jones,Director/Football Equipment,Cincinnati
2566,Jason Achauer,Assistant Equipment Manager,Cincinnati
2567,Niko Palazeti,Director of Football Sports Performance,Cincinnati
2568,Christopher Friend,Associate Director of Football Sports Performance,Cincinnati
2569,Brandon Garcia,Assistant Director of Football Sports Performance,Cincinnati
2570,Scott Ethington,Assistant Football Sports Performance Coach,Cincinnati
2571,Micaela Serrano,Associate Director of Performance Nutrition - Football Dietitian,Cincinnati
2572,Seth Price,Quality Control - Offense,Cincinnati
2573,Larry Dace,Graduate Assistant - Offense,Cincinnati
2574,Malik Davis,Graduate Assistant - Defense,Cincinnati
2575,Grant Gourley,Graduate Assistant - Defense,Cincinnati
2576,Vijay Stingley,Quality Control - Offense,Cincinnati
2577,Jacob Brandon,Quality Control - Defense,Cincinnati
2578,Tim Conner,Quality Control - Special Teams,Cincinnati
2579,Wes Fleming,Quality Control - Defense,Cincinnati
2580,Luke Mullett,Special Assistant to the Head Coach,Cincinnati
2581,Clay Colvin,Director of Creative Media - Football,Cincinnati
2582,Robert Nunn,Quality Control - Defense,Cincinnati
2823,Tim Beck,Head Football Coach,Coastal Carolina
2824,Travis Trickett,Offensive Coordinator / Quarterbacks,Coastal Carolina
2825,Craig Naivar,Defensive Coordinator / Safeties,Coastal Carolina
2826,Dan Carrel,Co-Defensive Coordinator / Linebackers,Coastal Carolina
2827,Jimmy Brumbaugh,Defensive Line / Defensive Run Game Coordinator,Coastal Carolina
2828,Xavier Dye,Running Backs,Coastal Carolina
2829,Curtis Fuller,Cornerbacks,Coastal Carolina
2830,Perry Parks,Wide Receivers,Coastal Carolina
2831,Kriss Proctor,Tight Ends,Coastal Carolina
2832,Josh Miller,Outside Linebackers / Special Teams,Coastal Carolina
2833,Derek Warehime,Offensive Line,Coastal Carolina
2834,Joe Moglia,Chair of Athletics / Executive Director for Football / Executive Adviser for the President,Coastal Carolina
2835,Jill Kingston,Executive Assistant,Coastal Carolina
2836,Kevin Cristello,Associate Director of Football Administration,Coastal Carolina
2837,Paul Ressa,Director of Player Personnel,Coastal Carolina
2838,Matt Pearce,Director of Recruiting,Coastal Carolina
2839,Kianna Jasper,Director of On-Campus Recruiting,Coastal Carolina
2840,Jared Tucker,Coordinator of Defensive Recruiting,Coastal Carolina
2841,Kyle Steinhoff,Coordinator of Offensive Recruiting,Coastal Carolina
2842,Quinn Barham,"Director of Football Speed, Strength and Conditioning",Coastal Carolina
2843,Tommie Moore,"Assistant Director of Speed, Strength and Conditioning",Coastal Carolina
2844,Tyler Redding,"Assistant Director of Speed, Strength and Conditioning",Coastal Carolina
2845,Alex Politis,Dietician,Coastal Carolina
2846,Kaitlynn Seymour,Assistant Athletic Trainer (Football),Coastal Carolina
2847,Christian Mitchell,Assistant Director of Football Operations,Coastal Carolina
2848,Grace DeLong,Operations & Recruiting Assistant,Coastal Carolina
2849,Cal Leslie,Director of Technology & Video,Coastal Carolina
2850,Connor Wagner,Director of Creative Media,Coastal Carolina
2851,Tiffany Henry,Football Photographer for Creative Media,Coastal Carolina
2852,Dan Morphis,Equipment Coordinator,Coastal Carolina
2853,Mike Marangelli,Assistant Equipment Coordinator,Coastal Carolina
2854,John Morello,FCA Campus Director,Coastal Carolina
2855,Morgan Sumner,Associate Director of Student-Athlete Academic Services (Football),Coastal Carolina
2856,Tyrone McKenney,"Academic Advisor (Football, Beach Volleyball, Women's Golf, Men's and Women's Tennis)",Coastal Carolina
2857,John Bonney,Defensive Analyst,Coastal Carolina
2858,MacAnder Dieudonne,Offensive Analyst,Coastal Carolina
2859,Sawyer Jordan,Offensive Analyst,Coastal Carolina
2860,Aidan Panni,Special Teams Analyst,Coastal Carolina
2861,Collin Wilder,Defensive Analyst,Coastal Carolina
2973,Karl Dorrell,Head Coach,Colorado
2974,Mike Sanford,Interim Head Coach/Quarterbacks,Colorado
2975,Phil McGeoghan,Assistant Head Coach/Wide Receivers,Colorado
2976,Gerald Chatman,Defensive Coordinator/Defensive Line,Colorado
2977,Clay Patterson,Offensive Coordinator/Tight Ends,Colorado
2978,Chris Wilson,Defensive Coordinator / Outside Linebackers,Colorado
2979,Kyle DeVan,Assistant Coach/Offensive Line/Run Game Coordinator,Colorado
2980,Brett Maxie,Assistant Coach/Defensive Run Game Coordinator/Safeties,Colorado
2981,Rod Chance,Assistant Coach/Cornerbacks,Colorado
2982,Darian Hagan,Assistant Coach/Running Backs,Colorado
2983,Chris Reinert,Assistant Coach/Special Teams,Colorado
2984,Jeff Smart,Assistant Coach/Linebackers,Colorado
2985,Mark Smith,Assistant Coach/Linebackers,Colorado
2986,Nate Dodson,Graduate Assistant/Quarterbacks,Colorado
2987,John Gardner,Defensive Graduate Assistant Coach,Colorado
2988,Cordale Grundy,Defensive Graduate Assistant Coach,Colorado
2989,Kolter Smith,Offensive Graduate Assistant Coach,Colorado
2990,Michael Downing,Quality Control/Secondary,Colorado
2991,Brandon Gibson,Quality Control/Wide Receivers,Colorado
2992,Nicholas Gilbert,Quality Control/Offensive Line,Colorado
2993,Shannon Turley,Director of Strength & Conditioning,Colorado
2994,Connor Gorny,Assistant Strength & Conditioning Coach,Colorado
2995,Darius Reese,Assistant Strength & Conditioning Coach,Colorado
2996,Jacob Ricketts,Assistant Strength & Conditioning Coach,Colorado
2997,Scott Sacuskie,Assistant Strength & Conditioning Coach,Colorado
2998,Bryan McGinnis,Director of Football Operations,Colorado
2999,Emily Funke,Assistant Director of Football Operations,Colorado
3000,Jean Onaga,Administrative Assistant/Assistant Coaches,Colorado
3001,Lance Carl,Director of Player Development/Alumni Relations,Colorado
3002,Bob Lopez,General Manager,Colorado
3003,Chandler Dorrell,Director of Player Personnel,Colorado
3004,D.J. Bryant,Assistant Director of Player Personnel/Scouting,Colorado
3005,Armond Hawkins,Assistant Director of Player Personnel/HS Relations,Colorado
3006,Andy Wang,Assistant Director of Player Personnel,Colorado
3007,Maileka Slayton,Assistant Director/On-Campus Recruiting,Colorado
3008,Emily Giusti,Recruiting Assistant - Communications,Colorado
3009,Brandon Kronethal,Recruiting Assistant - Scouting,Colorado
3010,Tanner Norton,Recruiting Assistant - Scouting,Colorado
3011,John Snelson,Director of Creative Services,Colorado
3012,Derek Marckel,Football Senior Art Director,Colorado
3013,Paul Morisette,Football Design Creative Content Assistant,Colorado
3014,Jamie Guy,Director of Sports Video,Colorado
3015,Brian Cabral,Character Coach,Colorado
3122,Mike Elko,Head Coach,Duke
3123,Kevin Johns,Offensive Coordinator/Quarterbacks,Duke
3124,Tyler Santucci,Defensive Coordinator/Linebackers,Duke
3125,Jess Simpson,Co-Defensive Coordinator/Defensive Line,Duke
3126,Trooper Taylor,Associate Head Coach/Running Backs,Duke
3127,Ishmael Aristide,Assistant Coach/Cornerbacks,Duke
3128,Harland Bower,Assistant Coach/Defensive Ends,Duke
3129,Zohn Burden,Assistant Coach/Pass Game Coordinator/Wide Receivers,Duke
3130,Adam Cushing,Assistant Coach/Run Game Coordinator/Offensive Line,Duke
3131,Patrick Dougherty,Assistant Coach/Special Teams Coordinator/Tight Ends,Duke
3132,Lyle Hemphill,Assistant Coach/Safeties,Duke
3133,Xavier Garcia,Graduate Assistant Coach/Defense,Duke
3134,Kevin Leonard,Graduate Assistant Coach/Defense,Duke
3135,Luke Shively,Graduate Assistant Coach/Offense,Duke
3136,Michael Shuster,Graduate Assistant Coach/Offense,Duke
3137,Alex Garwig,Senior Analyst/Defense,Duke
3138,Rich Skrosky,Senior Analyst/Offense,Duke
3139,Stephen Barnette,Analyst/Offense,Duke
3140,Keith Larson,Analyst/Special Teams,Duke
3141,Zach Sparber,Analyst/Defense,Duke
3142,Dwayne Thomas,Analyst/Defense,Duke
3143,Tanner Cotman,Quality Control Coordinator/Defense,Duke
3144,Nicholas Sewak,Quality Control Coordinator/Offense,Duke
3145,David Feeley,Associate Director of Sports Performance/Director of Football Sports Performance,Duke
3146,Jeremy Jacobs,Associate Director for Sports Performance/Head of Football Applied Sports Science,Duke
3147,Anthony Hibbert,Assistant Director of Sports Performance (Football),Duke
3148,Brandon Stegall,Assistant Director of Sports Performance (Football),Duke
3149,Derek Miller,Recruiting General Manager,Duke
3150,Jasmine Johnson,Director of On-Campus Recruiting,Duke
3151,Shaun Cook,Scouting Assistant,Duke
3152,Allen Gaudet,Scouting Assistant,Duke
3153,Oscar Monnier,Scouting Assistant,Duke
3154,Tori Harris,On-Campus Recruiting Coordinator,Duke
3155,Kayla Hudson,On-Campus Recruiting Coordinator,Duke
3156,Lexy Granata,Director of Internal Operations,Duke
3157,Delvin Jones,Director of External Operations,Duke
3158,Ashleigh Crutcher,Football Operations Assistant,Duke
3159,Rosalie Grant,Director of Football Nutrition,Duke
3160,Terrell Smith,Director of the Future Initiative,Duke
3161,Dorian Jackson,Assistant Director of the Future Initiative,Duke
3162,Brent Greenberg,Director of Football Digital Strategy,Duke
3163,Brett Burnett,Graphic Designer,Duke
3164,John Riley,Director of Football Coaching Technology,Duke
3165,Lane Smith,Football Video Coordinator,Duke
3166,Jacqueline Davis,Associate Director of Academic Support Services/Director of Football Academic Support,Duke
3167,Carson Bard,Director of Head Coach Operations,Duke
3262,Mike Houston,Head Coach,East Carolina
3263,Donnie Kirkpatrick,Offensive Coordinator/Quarterbacks,East Carolina
3264,Blake Harrell,Defensive Coordinator/Inside Linebackers,East Carolina
3265,Tim Daoust,Special Teams Coordinator/Defensive Ends/Outside Linebackers,East Carolina
3266,Aaron Auer,Assistant Coach - Inside Receivers/Tight Ends,East Carolina
3267,Re'quan Boyette,Assistant Coach - Running Backs,East Carolina
3268,Allen Mogridge,Assistant Coach - Offensive Line,East Carolina
3269,Jules Montinar,Defensive Pass Game Coordinator/Cornerbacks,East Carolina
3270,Dyrell Roberts,Assistant Coach - Outside Receivers,East Carolina
3271,Roy Tesh,Assistant Coach - Defensive Tackles,East Carolina
3272,Tripp Weaver,Assistant Coach - Safeties,East Carolina
3273,Tyler Almond,Defensive Analyst,East Carolina
3274,Kyle Deween,Special Teams Analyst,East Carolina
3275,Mark Hatcher,Defensive Graduate Assistant Coach,East Carolina
3276,Jake Kirkendall,Chief of Staff,East Carolina
3277,Ryan McManus,Director of Football Operations,East Carolina
3278,Bryan Butterworth,Director of Player Development,East Carolina
3279,Scott Gasper,Director of Player Personnel/Recruiting,East Carolina
3280,Steve Shankweiler,Director of High School & Alumni Relations,East Carolina
3281,Jovon Hubbard,Recruiting Operations Coordinator,East Carolina
3282,Chesney McClellan,Director of On-Campus Recruiting,East Carolina
3283,Jarrett Ozimek,Director of Football Creative Media,East Carolina
3284,Austen Prager,Director of Football Video Operations,East Carolina
3285,Nathan Nunamker,Assistant Director of Football Video Operations,East Carolina
3286,"John Williams, Jr.",Director of Strength & Conditioning,East Carolina
3287,Ann Hoggard,Administrative Assistant/Mike Houston,East Carolina
3385,Chris Creighton,Head Coach,Eastern Michigan
3386,Sean Coughlin,Assistant Head Coach/Co-Offensive Run Game Coordinator/Offensive Line,Eastern Michigan
3387,Ben Needham,Assistant Coach/Defensive Coordinator/Linebackers,Eastern Michigan
3388,Mike Piatkowski,Assistant Coach/Offensive Coordinator/Quarterbacks,Eastern Michigan
3389,Bo Alexander,Assistant Coach/Defensive Ends,Eastern Michigan
3390,Brandon Blaney,Assistant Coach/Co-Offensive Run Game Coordinator/Tight Ends,Eastern Michigan
3391,Chris Chestnut,Assistant Coach/Wide Receivers,Eastern Michigan
3392,Munir Prince,Assistant Coach/Cornerbacks,Eastern Michigan
3393,Tate Omli,Assistant Coach/Pass Game Coordinator/Safeties,Eastern Michigan
3394,Issac Reed,Assistant Coach/Running Backs,Eastern Michigan
3395,Jerone Steckel,Assistant Coach/Defensive Tackles,Eastern Michigan
3396,Max James,Graduate Assistant,Eastern Michigan
3397,Grant Kurzner,Graduate Assistant,Eastern Michigan
3398,Michael McClanathan,Graduate Assistant,Eastern Michigan
3399,Mike Brunk,Defensive Quality Control,Eastern Michigan
3400,Jeff Collett,Associate AD for Operations and Recruiting,Eastern Michigan
3401,Wilson Schiller,Director of On-campus Recruiting and Operations,Eastern Michigan
3402,Jerry VanHavel,Player Personnel Assistant/High School Relations,Eastern Michigan
3403,Jeanne Justice,Administrative Assistant,Eastern Michigan
3507,Mike MacIntyre,Head Coach - Football,FIU
3508,David Yost,Offensive Coordinator,FIU
3509,Jovan Dewitt,Defensive Coordinator,FIU
3510,Joshua Eargle,Deputy Head Coach - Offensive Line,FIU
3511,Eric Hickson,Associate Head Coach/Running Backs,FIU
3512,Zac Roper,Assistant Coach - Special Teams Coordinator/Tight Ends,FIU
3513,George Frazier,Assistant Coach - Defensive Line,FIU
3514,Jay MacIntyre,Assistant Coach - Wide Receivers,FIU
3515,Nate Taye,Assistant Coach - Safeties,FIU
3516,Anthony Gaitor,Assistant Coach - Outside Linebackers,FIU
3517,Brandon Buchner,Analyst,FIU
3518,Luke Ebbesmeyer,Analyst,FIU
3519,Aaron Haigler,Graduate Assistant,FIU
3520,Jonston MacIntyre,Graduate Assistant,FIU
3521,Trevor Vill,Graduate Assistant,FIU
3522,Katie Bason,Assistant AD/Chief of Football Operations,FIU
3523,Ricky Walterman,Head Equipment Manager,FIU
3524,Ryan Webb,Assistant Director of Operations,FIU
3525,Chris Speeney,Football Video Coordinator,FIU
3632,Billy Napier,Head Coach,Florida
3633,Rob Sale,Assistant Coach / Offensive Coordinator,Florida
3634,Austin Armstrong,Defensive Coordinator,Florida
3635,Sean Spencer,Co-Defensive Coordinator / Defensive Line,Florida
3636,Jabbar Juluke,Associate Head Coach - Offense / Running Backs,Florida
3637,Corey Raymond,Assistant Head Coach / Secondary,Florida
3638,Jay Bateman,Assistant Coach / Inside Linebackers,Florida
3639,Russ Callaway,Assistant Coach / Tight Ends,Florida
3640,Billy Gonzales,"Assistant Coach, Wide Receivers",Florida
3641,Mike Peterson,Assistant Coach / Edge,Florida
3642,Darnell Stapleton,Assistant Coach / Offensive Line,Florida
3643,Mark Hocke,Associate Head Coach / Director of Football Strength and Conditioning,Florida
3644,Joshua Thompson,Director of Football Operations,Florida
3645,Katie Turner,Assistant AD of Recruiting Strategy,Florida
3646,Jacob LaFrance,Director of Player Personnel,Florida
3647,Rachel Adamkowski,Performance Dietitian - Football,Florida
3648,Savannah Bailey,Senior Director of Player Relations and GatorMade,Florida
3649,Ross Bares,Quality Control - Personnel,Florida
3650,Cheston Blackshear,Quality Control - Offensive Line,Florida
3651,Allen Brown,Quality Control - Defensive Backs,Florida
3652,Parker Brown,"Assistant Director, Athletic Equipment",Florida
3653,Vernell Brown Jr.,Senior Director of Student-Athlete Development / Alumni Relations,Florida
3654,Parker Carmichael,Assistant Athletic Trainer,Florida
3655,Marcus Castro-Walker,Director of Player Engagement and NIL,Florida
3656,Chase Clark,Assistant for College Personnel / On-Campus Recruiting,Florida
3657,Riley Collins,Performance Dietitian - Football,Florida
3658,Chris Couch,GameChanger Coordinator,Florida
3659,Joe Danos,Director of Player Athletic Development,Florida
3660,David Doeker,"Graduate Assistant, Offense",Florida
3661,Doug Domingue,Senior Director of Recruiting Innovation,Florida
3662,John Donovan,Senior Offensive Analyst,Florida
3663,Karmichael Dunbar,Strength and Conditioning Assistant,Florida
3664,Jake Failla,"Video Assistant, Football",Florida
3665,Matt Graham,"Assistant Director, Athletic Equipment",Florida
3666,Kelsee Gomes,Director of Sports Nutrition - Football,Florida
3667,Sierra Griffin,On-Campus Recruiting Coordinator,Florida
3668,Cannon Gibbs,Quality Control - Defensive Line,Florida
3669,Joe Hamilton,Personnel Analyst - Defense,Florida
3670,Tyler Henderson,"Graduate Assistant, Defense",Florida
3671,Jordan Herald,"Director of Creative Media, Football Recruiting",Florida
3672,Tony Hill,"Associate Director, Sports Health for Football",Florida
3673,Scott Hoffman,Assistant Director of Creative Video,Florida
3674,Reuel Joaquin,Director of Video Services,Florida
3675,Kali James Jr.,"Graduate Assistant, Defense",Florida
3676,Tiger Jones,Director of Speed Improvement and Skill Development,Florida
3677,Kaleb Johnson,Quality Control - Offensive Line,Florida
3678,Kyle Kazakevicius,Assistant of Quality Control / Assistant to the Head Coach,Florida
3679,Eric Kiesau,Quality Control - Offense,Florida
3680,Diane Lebon,Football Business Manager & GatorMade Coordinator,Florida
3681,Chad Lucas,Quality Control - Wide Receivers,Florida
3682,Nick McDonald,Personnel Analyst - Offense,Florida
3683,Jeff McGrew,"Director, Football Equipment",Florida
3684,Randy Mickens,Associate Director of Creative Video for Football Recruiting,Florida
3685,Shane Morgan,Assistant Director for Football Video,Florida
3686,Braxton Morris,Quality Control - Defense,Florida
3687,Frank Ogas,Assistant for Player Development,Florida
3688,Ryan O'Hara,Offensive Analyst – Quarterbacks,Florida
3689,Ashour Peera,Director of Football Logistics,Florida
3690,Justin Posthuma,Quality Control - Tight Ends,Florida
3691,Kyle Ranson,Video Assistant,Florida
3692,Matt Redd,Assistant Director of Sports Health,Florida
3693,Nancy Scarborough,Executive Assistant,Florida
3694,Shawnee Sellers,Coordinator II,Florida
3695,Bird Sherrill,Director of College Personnel,Florida
3696,Blake Shrader,Quality Control - Defense,Florida
3697,Paul Silvestri,"Director of Sports Health, Football",Florida
3698,Tamsyn Stonebarger,Associate Director of Digital Strategy,Florida
3699,Lamar Sorey,Quality Control - Personnel,Florida
3700,Jake Taccone,Athletic Equipment Assistant,Florida
3701,Brandon Taylor,"Graduate Assistant, GameChanger",Florida
3702,Edward Thompson,Strength and Conditioning Assistant,Florida
3703,Bri Wade,Director of On-Campus Recruiting and Football Events,Florida
3704,Alex Watkins,Strength and Conditioning Assistant,Florida
3705,CJ Wilford,Quality Control - Defense,Florida
3706,Donavon White,Athletic Trainer,Florida
3707,Rick Hurtado,Director of Football Communications,Florida
3708,Matthew Hutchison,"Assistant Director (Men's & Women's Golf, Football)",Florida
3810,Tom Herman,Hagerty Family Head Football Coach,Florida Atlantic
3811,Roc Bellantoni,Defensive Coordinator/LB,Florida Atlantic
3812,Charlie Frye,Offensive Coorinator/QB,Florida Atlantic
3813,Brandon Harris,Co-Defensive Coordinator/Cornerbacks,Florida Atlantic
3814,Ed Warinner,Associate Head Coach/Run Game Coordinator/OL,Florida Atlantic
3815,Chad Lunsford,Tight Ends Coach and Special Teams Coordinator,Florida Atlantic
3816,David Beaty,Wide Receivers Coach,Florida Atlantic
3817,Derrick Gibson,Safeties,Florida Atlantic
3818,"Roosevelt Maggitt, Jr.",Defensive Line,Florida Atlantic
3819,Chris Perkins,Running Backs,Florida Atlantic
3820,Matt Smidebush,"Chief of Staff, Football",Florida Atlantic
3821,Jeff Love,Director of Player Personnel,Florida Atlantic
3822,Regine Hill,Assistant Director of Player Development,Florida Atlantic
3823,Julie Reed,Director of Football Operations,Florida Atlantic
3824,Matt Wiesner,Director of Recruiting/NFL Liaison,Florida Atlantic
3825,Shane Marinelli,Director of High School Relations,Florida Atlantic
3826,Tyler Fambrough,Senior Offensive Analyst/Special Assistant to the Head Coach,Florida Atlantic
3827,Faith Padgett,Director of On-Campus Recruiting,Florida Atlantic
3828,Gabriel Marinas,Director of Football Video,Florida Atlantic
3829,Kevin Johnson,Analyst (Special Teams),Florida Atlantic
3830,Jordan Helm,Defensive Analyst,Florida Atlantic
3831,Michael Cibene,Defensive Analyst,Florida Atlantic
3832,Clay Williams,Director of Football Creative,Florida Atlantic
3833,Nathan Hinkley,Director of Equipment,Florida Atlantic
3834,Ryan Beer,Scouting Coordinator,Florida Atlantic
3835,Nick Tronti,Graduate Assistant (Offense),Florida Atlantic
3836,James O'Hagan,Graduate Assistant (Offensive Line),Florida Atlantic
3837,Pierce Withers,Graduate Assistant (Defense),Florida Atlantic
3838,Tyler Cardwell,Graduate Assistant (Defense),Florida Atlantic
3839,Bill Sanders,Head Athletic Trainer (Football),Florida Atlantic
3840,Brad Marsic,Assistant Athletic Trainer (Football),Florida Atlantic
3841,Alexa Petriella,Assistant Athletic Trainer (Football and Women's Tennis),Florida Atlantic
3842,Joey Guarascio,Head Strength and Conditioning Coach,Florida Atlantic
3843,Robert Marco,Assistant Strength and Conditioning Coach,Florida Atlantic
3844,Keland Johnson,Assistant Strength and Conditioning Coach,Florida Atlantic
3845,"Adare Quinn, RDN",Football Nutritionist,Florida Atlantic
3846,Desmond Cook,Fellowship of Christian Athletes,Florida Atlantic
4594,Clay Helton,Head Coach,Georgia Southern
4595,Kevin Whitley,Assistant Head Coach (Cornerbacks),Georgia Southern
4596,Bryan Ellis,Assistant Coach (Offensive Coordinator/Quarterbacks),Georgia Southern
4597,Will Harris,Assistant Coach (Defensive Coordinator/Secondary),Georgia Southern
4598,Ryan Aplin,Assistant Coach (Tight Ends/Inside Receivers/Pass Game Coordinator),Georgia Southern
4599,Marcus Davis,Assistant Coach (Wide Receivers),Georgia Southern
4600,Matt Merritt,Assistant Coach (Running Backs),Georgia Southern
4601,Richard Owens,Assistant Coach (Offensive Line/Run Game Coordinator),Georgia Southern
4602,Rip Rowan,Assistant Coach (Defensive Line),Georgia Southern
4603,Aaron Schwanz,Assistant Coach (Linebackers),Georgia Southern
4604,Turner West,Assistant Coach (Special Teams Coordinator),Georgia Southern
4605,Malcolm Askew,Graduate Assistant - Offense,Georgia Southern
4606,Noah Fisher,Graduate Assistant - Offense,Georgia Southern
4607,Drew Gaither,Graduate Assistant - Defense,Georgia Southern
4608,Andrew Neupert,Graduate Assistant - Defense,Georgia Southern
4609,Matt Hassan,"Assistant Athletics Director, Football Operations",Georgia Southern
4610,Robert Stiner,Head Strength & Conditioning Coach,Georgia Southern
4611,Ryan Smith,General Manager,Georgia Southern
4612,Adrian Peterson,Director of Student-Athlete Development,Georgia Southern
4613,Andy Harris,Director of Equipment Operations,Georgia Southern
4614,Milan Turner,Director of High School Relations,Georgia Southern
4615,Nick Sparacio,Head Football Athletic Trainer,Georgia Southern
4616,Daniel Benedict,Video Coordinator,Georgia Southern
4617,Eliza Petersen,Director of Football Nutrition,Georgia Southern
4618,Sam Medlock,"Assistant S&C Coach, Football",Georgia Southern
4619,Sam Zanders Jr.,"Assistant S&C Coach, Football",Georgia Southern
4620,Andrew Bevill,Assistant Director of Player Personnel,Georgia Southern
4621,Eli Boswell,"Assistant Manager, Equipment Services",Georgia Southern
4622,Ashley Allenstein,Assistant Athletic Trainer,Georgia Southern
4623,Cal King,Analyst - Defense,Georgia Southern
4624,Bryan Schor,Analyst - Offense,Georgia Southern
4625,Blake Wilson,Analyst - Special Teams,Georgia Southern
4626,Rachel Cooper,Football Operations Assistant,Georgia Southern
4627,Bryan Johnston,"Senior Associate Athletics Director, Communications",Georgia Southern
4628,Dr. Brandonn Harris,Sport Psychologist,Georgia Southern
4629,Thomas Hearn,Volunteer Assistant,Georgia Southern
4630,Jarae Thurmond,Volunteer Assistant,Georgia Southern
4631,Connor Lawson,Recruiting Assistant,Georgia Southern
4632,Kennedy Joerger,On-Campus Recruiting,Georgia Southern
4633,Matt Wise,Character Development Volunteer,Georgia Southern
4715,Shawn Elliott,Head Coach,Georgia State
4716,Chad Staggs,Defensive Coordinator,Georgia State
4717,Trent McKnight,Offensive Coordinator/Quarterbacks,Georgia State
4718,Antreal Allen,Assistant Coach-Assistant Secondary Coach/Cornerbacks,Georgia State
4719,Arketa Banks,Assistant Coach-Special Teams Coordinator,Georgia State
4720,Quinshad Davis,Assistant Coach-Wide Receivers,Georgia State
4721,Dan Ellington,Assistant Coach-Tight Ends,Georgia State
4722,John Holt,Assistant Coach-Offensive Line,Georgia State
4723,Brian Landis,Assistant Coach-Inside Linebackers,Georgia State
4724,Cory Peoples,Assistant Coach-Defensive Passing Game Coordinator/Secondary,Georgia State
4725,Allen Smith,Assistant Coach-Defensive Line,Georgia State
4726,Mike Sirignano,Head Strength Coach,Georgia State
4727,Bob Murphy,Assoc AD-Sports Medicine & Nutrition,Georgia State
4728,Steve Wojcikowski,Assistant AD-Football Operations,Georgia State
4729,Ginny Thompson,Director of On-Campus Recruiting/Player Personnel,Georgia State
4730,Hannah Braxton,Recruiting/Operations Assistant,Georgia State
4731,Chantel Audaine,Football Video Coordinator,Georgia State
4732,Nathaniel Simon,Equipment Manager,Georgia State
4733,Stephanie Weiss,Assistant Equipment Manager,Georgia State
4734,William Hunter,Graduate Assistant,Georgia State
4735,Luke Hoggard,Graduate Assistant,Georgia State
5015,Timmy Chang,Head Coach,Hawaii
5016,Thomas Sheffield,Associate Head Coach/Special Teams Coordinator,Hawaii
5017,Ian Shoemaker,Offensive Coordinator/Quarterbacks,Hawaii
5018,Jacob Yoro,Defensive Coordinator/Outside Linebackers,Hawaii
5019,Chris Brown,Inside Linebackers,Hawaii
5020,Josh Brown,Safeties,Hawaii
5021,Abe Elimimian,Cornerbacks,Hawaii
5022,Eti Ena,Defensive Line,Hawaii
5023,Keiki Misipeka,Running Backs,Hawaii
5024,Jared Ursua,Wide Receivers,Hawaii
5025,Roman Sapolu,Offensive Line,Hawaii
5026,Kody Cooke,Strength & Conditioning Coach,Hawaii
5027,Matt Chon,Chief of Staff/Director of Operations,Hawaii
5028,Nate Ilaoa,Director of Recruiting,Hawaii
5029,Jeff Reinebold,Director of Player Development,Hawaii
5030,Silas Clapham,Director of Player Personnel,Hawaii
5031,Colin Shaffer,Video Coordinator,Hawaii
5032,Jimbo Davis,Quality Control,Hawaii
5033,Jordan Pu'u-Robinson,Quality Control,Hawaii
5034,Cade Socha,Quality Control,Hawaii
5035,PJ Minaya,Graduate Assistant,Hawaii
5036,Winterhawk Leighton,Graduate Assistant,Hawaii
5037,Alema Kapoi,Graduate Assistant,Hawaii
5038,Tyree Thompson,Graduate Assistant,Hawaii
5039,Samson Anguay,Offensive Intern,Hawaii
5040,Cam Gottfried,Recruiting Intern,Hawaii
5041,Reyn Shiraishi,Recruiting Intern,Hawaii
5132,Dana Holgorsen,Head Coach,Houston
5133,Doug Belk,Associate Head Coach/Defensive Coordinator,Houston
5134,Mike Jinks,Assistant Head Coach – Running Backs – Liaison to the THSCA,Houston
5135,Corby Meekins,Assistant Head Coach – Tight Ends/Inside Receivers – Liaison to the GHFCA,Houston
5136,Eman Naghavi,Running Game Coordinator/Offensive Line,Houston
5137,Mike Burchett,Quarterbacks,Houston
5138,Brian Early,Defensive Line,Houston
5139,Archie McDaniel,Linebackers,Houston
5140,David Rowe,Secondary,Houston
5141,Mark Scott,Special Teams Coordinator,Houston
5142,Daikiel Shorts Jr.,Wide Receivers,Houston
5143,Darl Bauer,Director of Strength and Performance,Houston
5144,Ryan Dorchester,Assistant Athletics Director Football - General Manager,Houston
5145,Kevin McCadam,Assistant Director of Strength & Performance,Houston
5146,Brett Holgorsen,Assistant Strength & Performance Coach,Houston
5147,Nate Majnaric,Assistant Strength & Performance Coach,Houston
5148,David Underwood,Assistant Strength & Performance Coach,Houston
5149,Joe Alcoser,Director of Football Operations,Houston
5150,Marielle McLoughlin,Assistant Director of Operations/Player Development,Houston
5151,Casey Smithson,Director of Player Personnel,Houston
5152,T.J. Randall,Assistant Director of Player Personnel – Offense,Houston
5153,Rajesh Murti,Assistant Director of Player Personnel,Houston
5154,Jordan Burgess,Director of Creative Media,Houston
5155,Darrell Grant,Director of Creative Video,Houston
